"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","ROI","voxels","volume_mm3","T1_mean","T1_std","T1_min","T1_max","T1_CoV","T1_nulls"
"2","0","33657","33.657","0.232926","0.1564459","2.356829e-13","1.089216","0.6716549","3072326"
"3","1","857","0.8570001","0.465565","0.08572644","0.08421111","0.6712503","0.1841342","0"
"4","2","318","0.318","0.5929162","0.08344956","0.241416","0.7678167","0.1407443","0"
"5","3","800","0.8","0.5393743","0.06608245","0.3189618","0.7546486","0.1225169","0"
"6","4","208","0.208","0.6635463","0.07228501","0.2033747","0.8902317","0.1089374","0"
"7","5","205","0.205","0.6764325","0.1104713","0.1565546","0.8996608","0.1633145","0"
"8","6","117","0.117","0.7111119","0.06722649","0.4070745","0.8492641","0.09453715","0"
"9","7","551","0.551","0.7281834","0.07274359","0.3784623","0.9911875","0.09989735","0"
"10","8","1617","1.617","0.6505558","0.1525904","0.04698265","0.9620875","0.2345539","7"
"11","9","1233","1.233","0.4540769","0.05414353","0.2227205","0.6411749","0.1192387","0"
"12","10","708","0.708","0.5146034","0.07185752","0.1437116","0.7143313","0.1396367","1"
"13","11","945","0.9450001","0.5610085","0.08144192","0.1661462","0.8630826","0.1451706","13"
"14","12","698","0.698","0.4873951","0.06462199","0.1547664","0.6858816","0.1325864","0"
"15","13","316","0.316","0.3912973","0.0752708","0.1051826","0.5954928","0.1923622","0"
"16","14","385","0.385","0.4443215","0.05233508","0.314735","0.6553185","0.1177865","0"
"17","15","3235","3.235","0.4370397","0.09088808","0.07640776","0.7629396","0.207963","56"
"18","16","3701","3.701","0.382013","0.07317977","0.0820977","0.5888275","0.1915636","30"
"19","17","1447","1.447","0.4149848","0.05335378","0.2389775","0.6432883","0.128568","0"
"20","18","90","0.09","0.6896533","0.05708886","0.5712699","0.8437368","0.08277907","0"
"21","19","3549","3.549","0.5253545","0.1064557","0.06096364","0.8882809","0.202636","15"
"22","20","3122","3.122","0.5183756","0.1170608","0.07429436","0.8648708","0.2258224","33"
"23","21","726","0.726","0.4341284","0.06826024","0.2326373","0.6636096","0.1572351","0"
"24","22","153","0.153","0.7114602","0.07927769","0.3904924","0.9051881","0.1114296","0"
"25","23","32","0.032","0.6640363","0.05613109","0.5501359","0.7728564","0.08453015","0"
"26","24","310","0.31","0.608106","0.06805933","0.3248143","0.7595257","0.1119202","0"
"27","25","4865","4.865","0.5624657","0.0997331","0.06714129","0.9168931","0.1773141","43"
"28","26","560","0.56","0.6006349","0.08452346","0.3534265","0.8965719","0.1407235","0"
"29","27","1621","1.621","0.5865675","0.1000182","0.1697228","0.9474562","0.1705144","10"
"30","28","1277","1.277","0.606647","0.1004655","0.09380272","0.8925077","0.1656079","4"
"31","29","1423","1.423","0.4587676","0.05736673","0.2633629","0.6322336","0.1250453","0"
"32","30","31","0.031","0.6742448","0.06004152","0.53648","0.8003307","0.08905004","0"
"33","31","250","0.25","0.6687198","0.07251502","0.3695209","0.8808027","0.1084386","0"
"34","32","1963","1.963","0.4780043","0.1059252","0.0697424","0.8354457","0.2215989","0"
"35","33","2510","2.51","0.4376974","0.0831274","0.07055525","0.7865123","0.1899198","4"
"36","34","1437","1.437","0.4591691","0.06555323","0.1214396","0.6377609","0.1427649","0"
"37","35","289","0.289","0.6617132","0.07657854","0.1996356","0.8377217","0.1157277","0"
"38","36","953","0.9530001","0.590646","0.09538036","0.09835467","0.8429239","0.1614848","7"
"39","37","1973","1.973","0.5916066","0.10438","0.1589932","0.8741373","0.1764348","37"
"40","38","1309","1.309","0.5473419","0.07836068","0.08307312","0.7720435","0.1431659","0"
"41","39","476","0.476","0.7018517","0.09112621","0.21573","0.8916948","0.1298368","1"
"42","40","840","0.84","0.6863167","0.09263179","0.313597","0.9801328","0.1349694","0"
"43","41","840","0.84","0.4159523","0.0502406","0.2742551","0.5886649","0.1207845","0"
"44","42","2383","2.383","0.3599265","0.08546641","0.0692547","0.6255682","0.2374552","36"
"45","43","637","0.637","0.3177101","0.05578043","0.09282731","0.4670628","0.1755702","0"
"46","44","1258","1.258","0.3528205","0.05877589","0.1219273","0.516484","0.1665886","0"
"47","45","277","0.277","0.3143","0.04751276","0.2076015","0.4716147","0.1511701","0"
"48","46","538","0.538","0.3049522","0.05032883","0.1734619","0.4657622","0.1650384","0"
"49","47","4","0.004","0.370537","0.051586","0.3391204","0.4469041","0.1392196","0"
"50","49","949","0.9490001","0.2315361","0.06451529","9.178282e-08","0.4160159","0.2786403","67"
"51","50","12","0.012","0.3910479","0.03735744","0.32644","0.4629985","0.09553163","0"
"52","51","14300","14.3","0.4850233","0.1475676","0.0912016","1.328845","0.3042485","0"
"53","52","212","0.212","0.3454753","0.06299927","0.1524904","0.5237996","0.1823553","0"
"54","53","886","0.886","0.4374314","0.06085745","0.2139417","0.6296325","0.1391245","0"
"55","54","581","0.581","0.4312198","0.06303655","0.2461305","0.6146761","0.146182","0"
"56","55","741","0.7410001","0.3790902","0.07599115","0.07884631","0.5652549","0.2004567","0"
"57","56","57","0.057","0.4695356","0.06002323","0.2914875","0.5928918","0.1278353","0"
"58","57","28381","28.381","0.3968596","0.1091425","2.713175e-07","0.8060206","0.2750154","293"
"59","58","118","0.118","0.2721583","0.05895203","0.07689579","0.4265826","0.2166094","0"
"60","59","5492","5.492","0.3227714","0.07029379","3.488367e-07","0.5602152","0.217782","3"
"61","60","3176","3.176","0.3386427","0.06908883","5.888364e-07","0.5368052","0.2040169","3"
"62","61","267","0.267","0.3844956","0.04959378","0.255397","0.5286767","0.128984","0"
"63","62","3445","3.445","0.3604254","0.06685492","0.067629","0.6415001","0.1854889","0"
"64","63","1056","1.056","0.4130478","0.05613697","0.230849","0.6021582","0.1359091","0"
"65","64","10635","10.635","0.4103043","0.07371403","0.1627323","0.8201642","0.179657","0"
"66","65","6379","6.379","0.3182871","0.07973507","3.652708e-07","0.6050845","0.2505131","15"
"67","66","1917","1.917","0.3441721","0.04893998","0.1807775","0.5000644","0.1421963","0"
"68","67","343","0.343","0.4017497","0.0639838","0.2506825","0.5862263","0.1592629","0"
"69","68","939","0.9390001","0.3893522","0.05345278","0.2264596","0.5767973","0.1372865","0"
"70","69","3721","3.721","0.5243946","0.08456288","0.1663088","0.7933401","0.1612581","0"
"71","70","335","0.335","0.5289552","0.0970843","0.1087591","0.7965916","0.1835397","0"
"72","71","100","0.1","0.3650974","0.06275093","0.2097149","0.5215236","0.1718745","0"
"73","72","6113","6.113","0.4109417","0.1016744","0.1199764","1.080763","0.2474181","0"
"74","73","1479","1.479","0.4371243","0.05626805","0.2490568","0.6943352","0.1287232","0"
"75","74","143","0.143","0.5438012","0.09493511","0.3678952","0.887468","0.1745768","0"
"76","75","261","0.261","0.4505093","0.05782471","0.3023797","0.595818","0.1283541","0"
"77","76","464","0.464","0.5256739","0.09225705","0.2327998","0.8539787","0.1755024","0"
"78","77","1073","1.073","0.3858695","0.05103029","0.2001233","0.5524119","0.1322475","0"
"79","78","1215","1.215","0.4230174","0.05758169","0.2310116","0.6382487","0.1361213","0"
"80","79","128","0.128","0.4294025","0.0552388","0.2940886","0.5717577","0.1286411","0"
"81","80","1431","1.431","0.4438649","0.05427771","0.1659837","0.6153263","0.1222843","0"
"82","81","5462","5.462","0.5858981","0.1116045","0.0853491","1.071172","0.1904845","5"
"83","82","2992","2.992","0.5814571","0.1080925","0.09152675","0.9370518","0.1858993","3"
"84","83","517","0.517","0.3612146","0.04919524","0.1812652","0.5283515","0.1361939","0"
"85","84","64","0.064","0.4357377","0.05830057","0.3140847","0.5572889","0.1337974","0"
"86","85","2034","2.034","0.4531203","0.066417","0.1963842","0.6811671","0.146577","0"
"87","86","201","0.201","0.4072582","0.06647614","0.2454803","0.576147","0.1632285","0"
"88","87","191","0.191","0.4680638","0.05386522","0.3474115","0.5899655","0.1150809","0"
"89","88","333","0.333","0.4945872","0.04975679","0.3644813","0.6541805","0.1006027","0"
"90","89","3294","3.294","0.328863","0.1162486","0.08258541","0.7819603","0.3534864","4"
"91","90","117","0.117","0.396338","0.09232073","0.1302187","0.5696443","0.2329343","0"
"92","91","25793","25.793","0.4046167","0.1181621","5.243404e-07","0.9090898","0.2920345","521"
"93","92","222","0.222","0.3802161","0.05112667","0.2407657","0.5418448","0.1344674","0"
"94","93","270","0.27","0.3903757","0.04980426","0.2456428","0.5236371","0.1275803","0"
"95","94","2","0.002","0.3913053","0.04023395","0.3628556","0.419755","0.1028199","0"
"96","95","587","0.587","0.3885744","0.05458271","0.2290607","0.5600526","0.1404691","0"
"97","96","21","0.021","0.2560163","0.07442825","0.1115228","0.401547","0.2907168","0"
"98","97","191","0.191","0.457083","0.05724496","0.3179863","0.6057347","0.1252397","0"
"99","98","372","0.372","0.377198","0.0506635","0.2193065","0.5264007","0.1343154","0"
"100","99","2888","2.888","0.2835217","0.06323474","0.09347758","0.482832","0.2230332","0"
"101","100","1507","1.507","0.3324044","0.05464009","0.1370463","0.5320907","0.1643783","0"
"102","101","148","0.148","0.3967909","0.04975956","0.2749054","0.5278639","0.125405","0"
"103","102","69","0.06900001","0.3038074","0.04287791","0.2173557","0.4077246","0.1411352","0"
"104","103","216","0.216","0.3576459","0.04849932","0.2160551","0.4774672","0.1356071","0"
"105","104","3024","3.024","0.3413543","0.06695621","0.1055077","0.5592398","0.1961487","0"
"106","105","200","0.2","0.3915871","0.06073937","0.2638506","0.6081733","0.1551107","0"
"107","106","400","0.4","0.304287","0.06176743","0.1373714","0.4844577","0.2029907","0"
"108","107","1039","1.039","0.3955953","0.06090585","0.2019116","0.5585895","0.15396","0"
"109","109","305","0.305","0.2806719","0.05795531","0.1110351","0.4537319","0.2064878","1"
"110","110","542","0.5420001","0.2752972","0.05160518","0.109572","0.4308097","0.1874526","0"
"111","111","208","0.208","0.3076522","0.05144013","0.1596435","0.4607226","0.1672022","0"
"112","112","900","0.9","0.23438","0.05084354","0.08079714","0.3789499","0.2169278","4"
"113","113","1510","1.51","0.2974163","0.05593575","0.1194887","0.4912857","0.1880722","0"
"114","114","1999","1.999","0.2431788","0.05453981","0.08096","0.4698265","0.2242787","10"
"115","115","1984","1.984","0.3277608","0.05507478","0.1168876","0.5499733","0.1680335","0"
"116","116","4598","4.598","0.2308292","0.05665676","1.472866e-07","0.4238192","0.2454489","5"
"117","117","415","0.415","0.2947934","0.05121857","0.1281049","0.4358494","0.1737439","0"
"118","118","231","0.231","0.332256","0.04544486","0.2020741","0.4680382","0.1367766","0"
"119","119","1110","1.11","0.2965859","0.08953825","3.308523e-07","0.568994","0.3018965","19"
"120","120","1037","1.037","0.4613653","0.09444347","0.1835412","0.8097597","0.2047043","0"
"121","121","9256","9.256001","0.4729398","0.1076931","0.07380665","0.8214647","0.22771","0"
"122","122","44","0.044","0.3786766","0.05677481","0.2848221","0.5138829","0.1499295","0"
"123","123","394","0.394","0.4212777","0.06781072","0.2345881","0.6124001","0.1609644","0"
"124","124","531","0.531","0.5793155","0.09376236","0.3272528","0.7996804","0.1618503","0"
"125","125","419","0.419","0.339688","0.09001035","0.09851725","0.5563135","0.2649795","22"
"126","126","15","0.015","0.4553469","0.03953947","0.3768366","0.5086806","0.08683372","0"
"127","127","1708","1.708","0.3952796","0.05546413","0.2241836","0.6024833","0.1403162","0"
"128","129","35","0.035","0.3433983","0.1086339","0.1437116","0.6247554","0.3163494","0"
"129","131","15","0.015","0.4985471","0.06837101","0.3835019","0.6193906","0.1371405","0"
"130","132","5","0.005","0.4008969","0.02736415","0.3735852","0.4441404","0.06825734","0"
"131","133","1239","1.239","0.3333382","0.07235254","0.08762507","0.581837","0.2170545","0"
"132","134","488","0.488","0.3894957","0.08198678","0.09250216","0.6206911","0.2104947","0"
"133","135","1181","1.181","0.2350563","0.05329747","0.08567423","0.4272332","0.2267434","0"
"134","136","457","0.457","0.1805616","0.05168084","0.03495254","0.3261147","0.2862228","0"
"135","137","89","0.089","0.25958","0.05085603","0.1290804","0.4369874","0.1959166","0"
"136","139","11","0.011","0.2542442","0.05316915","0.1789892","0.3589538","0.2091263","0"
"137","140","829","0.8290001","0.2486754","0.07886216","0.06990503","0.5159963","0.3171289","0"
"138","141","283","0.283","0.1744684","0.0533958","1.091471e-07","0.2877484","0.3060486","5"
"139","142","97","0.097","0.388736","0.05134503","0.2298736","0.4958376","0.132082","0"
"140","143","716","0.716","0.3461898","0.07316509","0.1510273","0.5987442","0.2113438","0"
