ROI,voxels,volume_mm3,T1_mean,T1_std,T1_min,T1_max,T1_CoV,T1_nulls
0,30386,30.386,0.1976377,0.1194553,5.73E-13,0.7898305,0.6044157,3091581
1,789,0.789,0.3325291,0.06060335,0.06984695,0.4958544,0.1822498,0
2,315,0.315,0.3869669,0.05754882,0.1224532,0.5584809,0.1487177,0
3,793,0.793,0.3707557,0.03698705,0.2267816,0.4772875,0.09976125,0
4,169,0.169,0.4094015,0.05150535,0.2466747,0.5346091,0.1258065,0
5,213,0.213,0.4611537,0.06143469,0.1043284,0.6074032,0.1332196,0
6,109,0.109,0.4950136,0.05248069,0.2650942,0.6177182,0.1060187,0
7,467,0.467,0.4692811,0.04800002,0.2027625,0.6054876,0.1022841,0
8,1485,1.485,0.4597019,0.07659424,0.08193018,0.6516101,0.1666172,20
9,1182,1.182,0.3496832,0.04232565,0.1690178,0.5303358,0.12104,0
10,687,0.687,0.3988019,0.05347252,0.1741753,0.5822053,0.1340829,3
11,781,0.781,0.4312446,0.08689939,0.1137592,0.7261725,0.2015084,0
12,775,0.775,0.3647765,0.04599889,0.09578168,0.5058746,0.1261016,3
13,322,0.322,0.3152113,0.03956036,0.2127827,0.4205553,0.1255043,4
14,424,0.424,0.3410381,0.04080111,0.1887636,0.4538578,0.119638,0
15,3506,3.506,0.3472709,0.06094199,0.08782443,0.5534708,0.1754883,76
16,3856,3.856,0.294952,0.04536523,0.06115292,0.4523843,0.1538055,68
17,1443,1.443,0.329147,0.05825723,0.1355679,0.6051929,0.1769946,0
18,88,0.08800001,0.4625702,0.03993755,0.370012,0.5718904,0.08633836,0
19,3518,3.518,0.3788361,0.06000065,0.07087845,0.5701221,0.1583816,19
20,3255,3.255,0.3744992,0.0628861,0.07117316,0.6200759,0.1679205,115
21,709,0.7090001,0.3293923,0.04198011,0.1974576,0.4607836,0.1274472,0
22,161,0.161,0.4689137,0.04719794,0.3263945,0.5713009,0.1006538,0
23,38,0.038,0.4976537,0.06351507,0.3599918,0.6448318,0.1276291,0
24,322,0.322,0.4725829,0.07011527,0.2898501,0.708195,0.1483661,0
25,4714,4.714,0.4126593,0.08703957,0.06572097,0.7369295,0.2109236,23
26,601,0.601,0.414405,0.04334253,0.3066487,0.6411479,0.1045898,0
27,1722,1.722,0.4015221,0.05152494,0.171965,0.6159499,0.1283241,13
28,1434,1.434,0.4228504,0.05620271,0.08797179,0.6094662,0.1329139,15
29,1575,1.575,0.3577798,0.04062425,0.2438749,0.5160422,0.1135454,0
30,34,0.034,0.4589503,0.05410132,0.3605812,0.5760163,0.1178806,0
31,258,0.258,0.4478418,0.05460928,0.1987838,0.5872154,0.1219388,0
32,2201,2.201,0.3584023,0.05138606,0.05879522,0.5642278,0.1433753,16
33,3096,3.096,0.325149,0.04582077,0.09136099,0.5282728,0.1409224,25
34,1591,1.591,0.3679726,0.05538283,0.09327663,0.5425664,0.150508,7
35,301,0.301,0.5095212,0.08168998,0.3258051,0.7585909,0.1603269,0
36,1017,1.017,0.5133539,0.09261367,0.1600291,0.7507811,0.180409,10
37,1981,1.981,0.4708294,0.07143248,0.1007918,0.6972907,0.1517163,23
