ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	29944	29.944	0.1815569	0.1162401	2.283356e-13	0.8042415	0.6402408	3068232
1	851	0.851	0.2901881	0.04878876	0.08905137	0.4577634	0.1681281	0
2	352	0.352	0.3704865	0.04631597	0.2064741	0.4988729	0.1250139	0
3	877	0.877	0.3233258	0.03660232	0.1926937	0.4425934	0.1132057	0
4	215	0.215	0.4220943	0.04950071	0.2485101	0.5522574	0.1172741	1
5	241	0.241	0.4560735	0.06900001	0.1383828	0.6367925	0.1512914	0
6	109	0.109	0.4942452	0.0399073	0.2983047	0.5815552	0.08074392	0
7	496	0.496	0.4797344	0.04931138	0.2300976	0.6040207	0.1027889	0
8	1650	1.65	0.4685995	0.06172116	0.1777553	0.6249808	0.1317141	34
9	1443	1.443	0.2771126	0.02863704	0.1623537	0.3701017	0.1033408	0
10	710	0.71	0.398937	0.06389136	0.06948091	0.5801656	0.160154	0
11	1028	1.028	0.4052984	0.06247573	0.1003999	0.5522574	0.1541475	0
12	784	0.784	0.3524317	0.03676962	0.2449202	0.4890298	0.1043312	0
13	351	0.351	0.2493082	0.03749408	0.1159173	0.4105164	0.1503925	1
14	423	0.423	0.2720101	0.03038756	0.1893355	0.3975466	0.1117148	0
15	3900	3.9	0.2677284	0.04758457	0.03925671	0.4607742	0.1777345	51
16	3920	3.92	0.2469377	0.03896128	0.06959672	0.3674382	0.1577778	37
17	1512	1.512	0.2599528	0.04350238	0.09704167	0.459732	0.1673472	0
18	102	0.102	0.4714802	0.03550822	0.3908301	0.5721753	0.07531221	0
19	3838	3.838	0.3303616	0.06149633	0.07480778	0.5784286	0.1861486	33
20	3343	3.343	0.321362	0.0660618	0.05662694	0.5470464	0.2055681	87
21	856	0.8560001	0.2623644	0.03416871	0.1322453	0.3802922	0.1302338	0
22	169	0.169	0.4845033	0.05498042	0.2313714	0.5748388	0.1134779	0
23	32	0.032	0.4766933	0.03412718	0.3991678	0.5373191	0.07159149	0
24	341	0.341	0.4187757	0.04386548	0.2102956	0.5625638	0.104747	0
25	5162	5.162	0.3598672	0.05936102	0.07283916	0.6479095	0.1649526	38
26	665	0.665	0.3733899	0.06129349	0.2551107	0.6431617	0.1641541	0
27	1782	1.782	0.3612778	0.05435314	0.1324769	0.5754178	0.1504469	11
28	1498	1.498	0.3884709	0.0529964	0.1450993	0.5531839	0.1364231	11
29	1583	1.583	0.2821727	0.03368758	0.1591113	0.4005575	0.1193864	0
30	38	0.038	0.4732504	0.04756342	0.394999	0.6019363	0.1005037	0
31	294	0.294	0.4776404	0.05374147	0.2908934	0.6354029	0.1125145	0
32	2414	2.414	0.3053406	0.04837652	0.08627214	0.4884508	0.1584346	11
33	3094	3.094	0.2840157	0.04725232	0.06577526	0.4575318	0.1663722	4
34	1535	1.535	0.3597935	0.05277856	0.1140645	0.5597845	0.1466912	6
35	301	0.301	0.467754	0.03697802	0.3247074	0.5780812	0.07905442	0
36	1073	1.073	0.4546272	0.04742441	0.1979048	0.6011257	0.104315	18
37	2213	2.213	0.444976	0.06304402	0.09542045	0.5929038	0.1416796	31
38	1456	1.456	0.4272774	0.04136151	0.2832505	0.5715963	0.09680247	2
39	501	0.501	0.4979359	0.05990919	0.2137696	0.6308867	0.1203151	1
40	859	0.859	0.4954433	0.05790205	0.1944308	0.6748912	0.1168692	2
41	794	0.794	0.2522372	0.02739441	0.1671016	0.3432357	0.1086057	0
42	2494	2.494	0.2885078	0.06509245	0.04481519	0.4828923	0.2256176	22
43	559	0.559	0.2568575	0.04230076	0.0766606	0.4048421	0.1646857	0
