Animal,Brunno,SAMBA Brunno,date,genotype,sex,DOB,T1MEMRIRARE,T1map,T1map.1,Proportional Volume,Treatment
191205-1,B50027,B52711,12/11/19,CVN,1,12/23/18,15,22,21,0.002055745,treadmill
191205-2,B50028,B52823,12/11/19,CVN,1,12/23/18,3,10,9,0.001913023,treadmill
191205-3,B50028,,12/11/19,CVN,1,12/23/18,45,43,42,,treadmill
191205-4,B50030,B53041,12/11/19,CVN,1,12/23/18,14,24,23,0.002000954,treadmill
191205-5,B50030,B53054,12/11/19,CVN,1,12/23/18,46,44,45,0.002009757,treadmill
191205-6,B50031,B53161,12/11/19,CVN,1,12/25/18,11,10,9,0.00219991,runningwheel_only
191205-8,B50031,B53183,,CVN,1,12/25/18,33,32,31,0.002056993,runningwheel_only
191205-9,B50031,B53195,,CVN,1,12/25/18,50,46,45,0.00204645,runningwheel_only
191205-10,B50031,B53106,,CVN,1,12/25/18,63,70,69,0.002033231,runningwheel_only
191212-1,B50032,B53212,,CVN,1,12/24/18,21,11,29,0.00160716,treadmill
191212-3,B50032,B53233,,CVN,1,12/24/18,34,48,49,0.0020277,treadmill
191212-4,B50032,B53245,,CVN,1,12/24/18,58,62,63,0.002175725,treadmill
191212-5,B50032,B53257,,CVN,1,12/24/18,74,78,,0.001984584,treadmill
191212-6,B50032,B53269,,CVN,1,12/31/18,90,93,94,0.001946412,runningwheel_only
191212-7,B50032,B53279,,CVN,1,12/31/18,99,106,105,0.00179911,runningwheel_only
191212-8,B50032,B53281,,CVN,1,12/31/18,115,117,118,0.001927253,runningwheel_only
191212-9,B50032,B53291,,CVN,1,12/31/18,127,129,12?,0.001878639,runningwheel_only
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
