ROI	voxels	volume_mm3	T1_mean	T1_std	T1_min	T1_max	T1_CoV	T1_nulls
0	28719	28.719	0.205775	0.137023	5.795795e-13	0.8022577	0.6658873	3091516
1	799	0.799	0.3624936	0.05756762	0.07872404	0.531947	0.15881	0
2	326	0.326	0.4939749	0.06426228	0.1442963	0.6418248	0.1300922	0
3	722	0.7220001	0.4059473	0.03810077	0.2951219	0.5300815	0.09385644	0
4	192	0.192	0.5131366	0.05143954	0.3135903	0.6285798	0.1002453	1
5	155	0.155	0.5639343	0.05255655	0.2855146	0.7001216	0.09319623	0
6	97	0.097	0.5453265	0.03454446	0.4798995	0.6299789	0.06334637	0
7	511	0.511	0.5502218	0.05106197	0.2694713	0.6644906	0.09280251	0
8	1482	1.482	0.5022479	0.09189954	0.1636042	0.7366854	0.1829765	29
9	1254	1.254	0.3501409	0.03326103	0.1751703	0.4332621	0.09499328	1
10	729	0.729	0.4227472	0.05856713	0.08161557	0.5991982	0.1385394	5
11	870	0.8700001	0.4478695	0.05650686	0.1795542	0.6115105	0.1261681	18
12	783	0.7830001	0.3763542	0.04682726	0.1731183	0.5382896	0.1244234	0
13	398	0.398	0.2740174	0.04098419	0.09392786	0.3528591	0.1495678	4
14	474	0.474	0.3287775	0.03580936	0.2483912	0.4414703	0.1089167	0
15	4133	4.133	0.3305525	0.06395439	0.06118836	0.5088148	0.1934773	39
16	3927	3.927	0.2725686	0.04952766	0.03096728	0.3981907	0.1817071	42
17	1748	1.748	0.3071038	0.03956729	0.1580077	0.435967	0.1288401	0
18	100	0.1	0.5646379	0.04445712	0.4031343	0.6584278	0.07873563	0
19	3584	3.584	0.4203938	0.07455546	0.1289992	0.6445298	0.1773467	41
20	2990	2.99	0.4104109	0.07875431	0.1086653	0.6699938	0.1918914	88
21	843	0.8430001	0.3194459	0.03941105	0.1875759	0.4239346	0.1233732	0
22	181	0.181	0.5512394	0.05661273	0.2765602	0.6538573	0.1027008	0
23	29	0.029	0.5390005	0.027884	0.4839104	0.5844607	0.0517328	0
24	289	0.289	0.4977981	0.04115806	0.3595749	0.6001309	0.08268023	0
25	4302	4.302	0.4465183	0.06214153	0.1356218	0.6195321	0.1391691	56
26	545	0.545	0.4672902	0.05367061	0.3334579	0.6213976	0.114855	0
27	1560	1.56	0.4463453	0.0618961	0.2019402	0.6328704	0.1386731	8
28	1269	1.269	0.4869983	0.06473507	0.2101484	0.6581479	0.1329267	12
29	1579	1.579	0.3503668	0.04341043	0.1834718	0.4938908	0.1239	0
30	34	0.034	0.5410577	0.02792752	0.4723442	0.5873523	0.05161652	0
31	276	0.276	0.5385438	0.05253913	0.3206792	0.6669158	0.09755776	0
32	2231	2.231	0.3792911	0.05033152	0.1238691	0.5487365	0.1326989	15
33	3112	3.112	0.3323456	0.0584964	0.06314713	0.5162768	0.1760108	5
34	1685	1.685	0.3573574	0.04733254	0.1124896	0.5230858	0.1324515	3
35	252	0.252	0.5397305	0.03265271	0.4548086	0.6502196	0.06049817	1
36	1023	1.023	0.4899194	0.05152672	0.233747	0.6437836	0.1051739	18
37	2115	2.115	0.4558774	0.08487069	0.08413399	0.6674754	0.18617	38
38	1451	1.451	0.4499666	0.05880548	0.2023133	0.6579614	0.1306886	1
39	510	0.5100001	0.5514953	0.06274406	0.2713368	0.7119676	0.1137708	5
40	872	0.872	0.5239894	0.06137206	0.2818768	0.6874362	0.1171246	5
41	848	0.848	0.3047	0.02947271	0.2291765	0.4014553	0.09672697	0
42	2664	2.664	0.2454513	0.05804778	0.02714301	0.4187112	0.236494	11
43	613	0.613	0.2311985	0.03947354	0.1237758	0.3383082	0.1707345	0
44	1275	1.275	0.2519945	0.04368736	0.05391291	0.3857851	0.1733663	0
45	297	0.297	0.2154129	0.03834957	0.1295589	0.3382149	0.1780282	0
46	570	0.5700001	0.2005407	0.03305916	0.09849841	0.309393	0.1648501	0
47	4	0.004	0.296451	0.01469633	0.277866	0.3129374	0.04957422	0
49	922	0.9220001	0.1759393	0.04882906	1.355658e-07	0.2948421	0.2775336	91
50	6	0.006	0.3065481	0.01766999	0.2809441	0.3310327	0.05764183	0
51	13725	13.725	0.3858547	0.1095683	0.1042814	0.7375249	0.2839627	0
52	298	0.298	0.2688992	0.03675272	0.09961763	0.3845725	0.1366784	0
53	933	0.933	0.3275319	0.03920563	0.2011008	0.4417501	0.1197002	0
54	549	0.549	0.3135283	0.05187641	0.1443896	0.4282252	0.1654601	0
55	648	0.648	0.2805623	0.05526176	0.03712342	0.405093	0.1969679	1
56	60	0.06	0.3670711	0.03537383	0.2679789	0.4507045	0.0963678	0
57	28603	28.603	0.2750368	0.07484061	1.860916e-07	0.5756929	0.2721112	474
58	106	0.106	0.1896552	0.03117795	0.1108106	0.263595	0.1643928	0
59	4761	4.761	0.2463626	0.04600306	0.04934244	0.4032275	0.1867291	30
60	3135	3.135	0.2404123	0.05268303	0.04514507	0.3869044	0.2191361	0
61	241	0.241	0.3075843	0.04102029	0.153344	0.4006158	0.1333628	0
62	3753	3.753	0.2687045	0.05744898	0.05475264	0.450891	0.2137999	0
63	1084	1.084	0.3205227	0.03766567	0.2050183	0.4414703	0.1175133	0
64	10728	10.728	0.3099551	0.0387678	0.1641639	0.4468802	0.1250755	0
65	6125	6.125	0.2271446	0.06365573	3.273504e-07	0.4290647	0.2802432	14
66	2030	2.03	0.2544775	0.03047242	0.1246153	0.3777635	0.119745	0
67	298	0.298	0.318898	0.0398243	0.2285236	0.4522901	0.124881	0
68	1021	1.021	0.2787792	0.03113578	0.1542767	0.3745921	0.1116861	0
69	3487	3.487	0.3953998	0.05540417	0.1960639	0.5702829	0.1401219	0
70	254	0.254	0.4123663	0.04903582	0.1851507	0.5283092	0.1189133	0
71	101	0.101	0.3087234	0.05489873	0.1700402	0.4382056	0.177825	0
72	5678	5.678	0.3392929	0.05422935	0.1454156	0.6029292	0.1598305	0
73	1459	1.459	0.3619395	0.03456094	0.2403695	0.4738367	0.09548818	0
74	136	0.136	0.3865053	0.04098468	0.2428879	0.5247648	0.1060391	0
75	262	0.262	0.3669065	0.04102369	0.2784257	0.4873615	0.1118097	0
76	463	0.463	0.3985835	0.03539979	0.2939093	0.5220598	0.08881401	0
77	846	0.846	0.3113379	0.03513726	0.1891616	0.4257068	0.1128589	0
78	1200	1.2	0.3393853	0.03583765	0.2365452	0.4890405	0.1055958	0
79	139	0.139	0.3465215	0.04248992	0.2645277	0.4628302	0.1226184	0
80	1481	1.481	0.3510663	0.0344566	0.2141593	0.4885741	0.09814844	0
81	4692	4.692	0.4607956	0.06843556	0.05531203	0.6871564	0.1485161	33
82	2888	2.888	0.3958351	0.05867922	0.125175	0.5897774	0.1482416	18
83	541	0.541	0.2775095	0.03492318	0.1822592	0.4069585	0.125845	0
84	56	0.056	0.3399205	0.03055917	0.269378	0.4080778	0.08990094	0
85	1997	1.997	0.3489105	0.04722605	0.1576346	0.5655259	0.1353529	0
86	218	0.218	0.330592	0.05016283	0.2306689	0.4676805	0.1517364	0
87	199	0.199	0.3478297	0.0338694	0.2261917	0.4308369	0.09737349	0
