Animal,Brunno,SAMBA Brunno,date,genotype,sex,DOB,T1MEMRIRARE,T1map,T1map.1,Proportional Volume
190610-1:1,,,,,,,,,,
190610_2:1,,,,,,,,,,
190610_3:1,,,,,,,,,,
190610-4:1,,,,,,,,,,
190610-5:1,,,,,,,,,,
190610_6:1,,,,,,,,,,
190610_7:1,,,,,,,,,,
190610_8:1,,,,,,,,,,
190610-9:1,,,,,,,,,,
190610-10:1,,,,,,,,,,
190715-1:1,B50013,B51315,9/12/19,APOE33,0,4/26/18,5,37,38,0.001753842
190715-2:1,B50013,B51325,9/12/19,APOE33,0,4/26/18,19,60,61,0.001787295
190715-3:1,B50017,B51732,9/12/19,APOE33,0,4/26/18,2,74,75,0.001681645
190715-4:1,B50017,B51742,9/12/19,HN,1,3/21/18,12,87,85,0.002187424
190715-5:1,B50018,B51852,9/12/19,APOE22,0,5/26/18,2,99,98,0.001677711
190715-6:1,B50018,B51861,9/12/19,APOE22,0,5/26/18,16,114,113,0.001821723
190715-7:1,B50018,B51872,9/12/19,APOE22,1,5/26/18,23,21,6,0.001692611
190715-8:1,B50018,B51882,9/12/19,APOE22,1,5/26/18,29,36,35,0.002259517
190715-9:1,B50019,,9/12/19,APOE22,0,5/26/18,18,47,46,
190715-10:1,B50019,,9/12/19,APOE22,0,5/26/18,25,59,60,
190909-9:1,B50018,,10/10/19,HN,0,3/21/18,2,3,11,
190909-10:1,B50018,,10/10/19,APOE3,0,4/26/18,16,15,,
190909-11:1,B50018,B51813,10/10/19,APOE3,1,4/26/18,31,32,,0.001769319
190909_12:1,B50018,B51824,10/10/19,APOE3,1,4/26/18,42,49,,0.00179775
190909_13:1,B50018,B51836,10/10/19,APOE3,0,4/26/18,60,59,,0.001679067
190909_14:1,B50018,,10/10/19,APOE3,1,4/26/18,63,62,47,
191028-3,B50022,B52233,12/4/19,APOE2,1,4/26/18,3,2,,0.00172363
191028-4,B50022,B52242,12/4/19,APOE2,1,4/26/18,24,20,,0.001825102
191028-5,B50022,B52253,12/4/19,APOE2,1,4/26/18,31,32,,0.001638616
191028-6,B50022,B52264,12/4/19,APOE2,0,4/26/18,40,41,,0.001820304
191028-7,B50022,B52274,12/4/19,APOE2,0,4/26/18,44,45,,0.001667438
191205-1,B50027,B52711,12/11/19,CVN,1,12/23/18,15,22,21,0.002055745
191205-2,B50028,B52823,12/11/19,CVN,1,12/23/18,3,10,9,0.001913023
191205-3,B50028,,12/11/19,CVN,1,12/23/18,45,43,42,
191205-4,B50030,B53041,12/11/19,CVN,1,12/23/18,14,24,23,0.002000954
191205-5,B50030,B53054,12/11/19,CVN,1,12/23/18,46,44,45,0.002009757
191205-6,B50031,B53161,12/11/19,CVN,1,12/25/18,11,10,9,0.00219991
191205-8,B50031,B53183,,CVN,1,12/25/18,33,32,31,0.002056993
191205-9,B50031,B53195,,CVN,1,12/25/18,50,46,45,0.00204645
191205-10,B50031,B53106,,CVN,1,12/25/18,63,70,69,0.002033231
191212-1,B50032,B53212,,CVN,1,12/24/18,21,11,29,0.00160716
191212-3,B50032,B53233,,CVN,1,12/24/18,34,48,49,0.0020277
191212-4,B50032,B53245,,CVN,1,12/24/18,58,62,63,0.002175725
191212-5,B50032,B53257,,CVN,1,12/24/18,74,78,,0.001984584
191212-6,B50032,B53269,,CVN,1,12/31/18,90,93,94,0.001946412
191212-7,B50032,B53279,,CVN,1,12/31/18,99,106,105,0.00179911
191212-8,B50032,B53281,,CVN,1,12/31/18,115,117,118,0.001927253
191212-9,B50032,B53291,,CVN,1,12/31/18,127,129,12?,0.001878639
,,,,,,,,,,
191205-1,B50030,B52715,,,,,52,,,0.001761751
191205-2,B50028,B52824,,,,,45,,,0.002000739
191205-2,B50030,B52825,,,,,53,,,0.001927786
191205-3,B50030,B52836,,,,,62,,,0.001834866
