Animal,Brunno,SAMBA Brunno,date,genotype,sex,DOB,T1MEMRIRARE,T1map,T1map.1,Proportional Hippocampal Volume,Proportional Lateral Ventricle Volume,Proportional Ectorhinal Cortex Volume,Proportional Cerebellum Volume,Total Volume
190610-1:1,,,,,,,,,,,,,,
190610_2:1,,,,,,,,,,,,,,
190610_3:1,,,,,,,,,,,,,,
190610-4:1,,,,,,,,,,,,,,
190610-5:1,,,,,,,,,,,,,,
190610_6:1,,,,,,,,,,,,,,
190610_7:1,,,,,,,,,,,,,,
190610_8:1,,,,,,,,,,,,,,
190610-9:1,,,,,,,,,,,,,,
190610-10:1,,,,,,,,,,,,,,
190715-1:1,B50013,B51315,9/12/19,APOE33,0,4/26/18,5,37,38,0.001753842,0.000909943,0.000166945,0.000506339,545.0890009
190715-2:1,B50013,B51325,9/12/19,APOE33,0,4/26/18,19,60,61,0.001787295,8.20E-05,0.011179653,0.000539813,524.2560023
190715-3:1,B50017,B51732,9/12/19,APOE33,0,4/26/18,2,74,75,0.001681645,0.000917623,0.000199483,0.00047477,501.2950023
190715-4:1,B50017,B51742,9/12/19,HN,1,3/21/18,12,87,85,0.002187424,0.000995642,0.010978213,0.000543587,535.3330042
190715-5:1,B50018,B51852,9/12/19,APOE22,0,5/26/18,2,99,98,0.001677711,0.000835986,0.000185562,0.000550947,522.7360018
190715-6:1,B50018,B51861,9/12/19,APOE22,0,5/26/18,16,114,113,0.001821723,8.53E-05,0.00578494,0.000554269,515.9950027
190715-7:1,B50018,B51872,9/12/19,APOE22,1,5/26/18,23,21,6,0.001692611,0.000932935,0.010854416,0.000555953,525.2240017
190715-8:1,B50018,B51882,9/12/19,APOE22,1,5/26/18,29,36,35,0.002259517,0.001068501,0.011203188,0.00053425,497.8940017
190715-9:1,B50019,,9/12/19,APOE22,0,5/26/18,18,47,46,,,,,
190715-10:1,B50019,,9/12/19,APOE22,0,5/26/18,25,59,60,,,,,
190909-9:1,B50018,,10/10/19,HN,0,3/21/18,2,3,11,,,,,
190909-10:1,B50018,,10/10/19,APOE3,0,4/26/18,16,15,,,,,,
190909-11:1,B50018,B51813,10/10/19,APOE3,1,4/26/18,31,32,,0.001769319,0.000964558,0.010827691,0.000537149,519.4090039
190909_12:1,B50018,B51824,10/10/19,APOE3,1,4/26/18,42,49,,0.00179775,8.95E-05,0.010818871,0.000521804,525.1010023
190909_13:1,B50018,B51836,10/10/19,APOE3,0,4/26/18,60,59,,0.001679067,0.000108021,0.000538211,0.00051168,527.6740029
190909_14:1,B50018,,10/10/19,APOE3,1,4/26/18,63,62,47,,,,,
191028-3,B50022,B52233,12/4/19,APOE2,1,4/26/18,3,2,,0.00172363,0.000819559,0.010597276,0.000534581,508.8100036
191028-4,B50022,B52242,12/4/19,APOE2,1,4/26/18,24,20,,0.001825102,0.00095206,0.010956396,0.000537702,518.8750022
191028-5,B50022,B52253,12/4/19,APOE2,1,4/26/18,31,32,,0.001638616,8.53E-05,0.00582339,0.000558487,515.6790023
191028-6,B50022,B52264,12/4/19,APOE2,0,4/26/18,40,41,,0.001820304,0.000169239,0.000525428,0.00049591,508.1570012
191028-7,B50022,B52274,12/4/19,APOE2,0,4/26/18,44,45,,0.001667438,0.000148128,0.006109266,0.000454392,499.5690015
191205-1,B50027,B52711,12/11/19,CVN,1,12/23/18,15,22,21,0.002055745,9.84E-05,0.005976622,0.000496002,487.9010034
191205-2,B50028,B52823,12/11/19,CVN,1,12/23/18,3,10,9,0.001913023,0.000979029,0.010031133,0.000436647,510.7100029
191205-3,B50028,,12/11/19,CVN,1,12/23/18,45,43,42,,,,,
191205-4,B50030,B53041,12/11/19,CVN,1,12/23/18,14,24,23,0.002000954,0.000969555,0.009998783,0.000444878,501.2610022
191205-5,B50030,B53054,12/11/19,CVN,1,12/23/18,46,44,45,0.002009757,0.000131534,0.000462302,0.000444893,516.9780033
191205-6,B50031,B53161,12/11/19,CVN,1,12/25/18,11,10,9,0.00219991,8.67E-05,0.01043431,0.000466767,507.7480021
191205-8,B50031,B53183,,CVN,1,12/25/18,33,32,31,0.002056993,0.000910777,0.010584425,0.000454356,484.2020015
191205-9,B50031,B53195,,CVN,1,12/25/18,50,46,45,0.00204645,7.06E-05,0.010423149,0.00047725,523.8340024
191205-10,B50031,B53106,,CVN,1,12/25/18,63,70,69,0.002033231,9.82E-05,0.010462791,0.00046558,509.0420015
191212-1,B50032,B53212,,CVN,1,12/24/18,21,11,29,0.00160716,0.000137123,0.005857965,0.000449682,495.9060018
191212-3,B50032,B53233,,CVN,1,12/24/18,34,48,49,0.0020277,0.000106314,0.010161694,0.000483246,517.3350031
