ANIMAL,Sex,DOB,Weight,Genotype,DWI,GRE,Exterior,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Preopt,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,5N,PnO,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnC,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,4V,MiTg,PT,LDVL,LP,Athal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
190715_7:1,female,5/26/18,27.5,APOE22,N57496,N57497,0.3493397,0.002966142,0.002894385,0.001998476,0.002059884,0.002470054,0.002220428,0.003154598,0.001968896,0.001682062,0.001666098,0.00156741,0.001744404,0.001683315,0.001344066,0.001658571,0.0020498,0.001949862,0.001061818,0.001811484,0.00190583,0.001735864,0.001432492,0.000984254,0.001667443,0.001780715,0.001819349,0.001819435,0.001701437,0.001296466,0.001182125,0.001110347,0.001497911,0.001694576,0.001649894,0.001134163,0.001143243,0.001566617,0.001319552,0.001651257,0.001672865,0.002410319,0.001836223,0.001984293,0.002203905,0.001539462,0.001839734,0.003462435,0.003592377,0.00243374,0.004233791,0.002579571,0.001474061,0.002004959,0.001887703,0.002237253,0.001634248,0.002514577,0.001523623,0.002039947,0.00240516,0.003424482,0.002886572,0.002971026,0.002351359,0.002243507,0.00200119,0.002776101,0.003020864,0.00207853,0.002358919,0.003520602,0.002587746,0.002697153,0.002137863,0.002583173,0.003120735,0.00327641,0.003509778,0.002795342,0.002687736,0.002350287,0.002416016,0.003504234,0.002835816,0.003112298,0.003455635,0.002779435,0.002542008,0.003481215,0.002418432,0.002632652,0.00345743,0.002758786,0.002987526,0.003405183,0.003467119,0.002788928,0.003031867,0.002509455,0.002397246,0.002734334,0.003975536,0.002262376,0.002836476,0.00410237,0.003244968,0.002171471,0.00332874,0.003612272,0.00435918,0.003411177,0.002463588,0.001936673,0.002938093,0.003217731,0.002587328,0.003125905,0.005777148,0.006531456,0.006525989,0.004966584,0.005373389,0.00683879,0.004708051,0.005086462,0.006212542,0.00593197,0.004656719,0.005418376,0.004423819,0.003995705,0.005110273,0.006360816,0.004116733,0.006091689,0.006493548,0.006234911,0.00503837,0.005519438,0.003978213,0.006163912,0.004389752,0.005025844,0.007092757,0.00447678,0.005793619,0.004336608,0.001903936,0.002114868,0.004895053,0.002509847,0.001652466,0.002437849,0.002538924,0.002343923,0.002306927,0.002771881,0.003857296,0.002956966,0.003541812,0.001676916,0.002227839,0.002967947,0.003935169,0.002641821,0.002299809
190715_8:1,female,5/26/18,28.8,APOE22,N57500,N57501,0.3602842,0.002995079,0.002845466,0.002001193,0.002021075,0.002611612,0.002092995,0.003064978,0.00210279,0.001658817,0.001690638,0.001607086,0.001669064,0.001710306,0.001487407,0.001664364,0.002012587,0.001881076,0.00117886,0.001782433,0.001922327,0.001845291,0.001623677,0.001094114,0.001685959,0.001842329,0.001761609,0.001882691,0.001836568,0.001353865,0.001298449,0.001198468,0.001507693,0.001696217,0.001634137,0.001031853,0.001211479,0.001590416,0.001441619,0.00160235,0.00175373,0.002344566,0.001887535,0.002063078,0.002175266,0.001313104,0.001780733,0.003565217,0.003474852,0.002305542,0.004285346,0.00264644,0.001523077,0.001966905,0.001950833,0.002258604,0.001712059,0.00258169,0.001728739,0.00197956,0.002259284,0.003434578,0.002848349,0.002947433,0.002322319,0.002279856,0.001939961,0.002922082,0.002829295,0.002188918,0.00226218,0.003483453,0.002610904,0.002723555,0.002221031,0.002547406,0.003168693,0.003396614,0.00360443,0.002800052,0.002780697,0.002276956,0.002493875,0.003626303,0.002821403,0.003243611,0.00337167,0.002956604,0.002692177,0.003401554,0.002258954,0.002704272,0.003592793,0.002840282,0.002999505,0.003524498,0.003324164,0.002845711,0.003131876,0.002420975,0.002385944,0.002991298,0.003781681,0.002117728,0.00279998,0.003980731,0.003177193,0.002153943,0.003375824,0.003836595,0.004140876,0.003277729,0.002399957,0.001919137,0.002862054,0.003273785,0.002420302,0.003237877,0.005853381,0.00643217,0.006674736,0.005025366,0.005218546,0.007081811,0.00474518,0.005075229,0.005983125,0.005952651,0.004629273,0.005630952,0.00429716,0.004166126,0.005412678,0.006404309,0.004348265,0.006110425,0.006222696,0.006354937,0.005209471,0.00567002,0.003698004,0.006109486,0.004384638,0.004931313,0.007116812,0.004271754,0.005661223,0.004338788,0.001980662,0.002247059,0.005281954,0.002412642,0.001697954,0.002557599,0.002384604,0.002525557,0.002394679,0.002751122,0.003702447,0.003138814,0.003589407,0.00165949,0.002242471,0.003014742,0.003888196,0.002729886,0.002245428
191028_3:1,female,4/26/18,22.3,APOE22,N57694,N57695,0.3442935,0.003055271,0.002807474,0.001997921,0.002175966,0.002511559,0.002253375,0.00304803,0.002047292,0.001746687,0.001404663,0.001371614,0.001539404,0.001775792,0.001373158,0.001700932,0.00182848,0.002054887,0.001083375,0.00172599,0.001930303,0.00181514,0.001540801,0.000935404,0.001346712,0.00182509,0.00185657,0.001858424,0.001689927,0.00133929,0.001086162,0.001067905,0.001364185,0.001454431,0.001551753,0.001023156,0.001061941,0.001489621,0.001146711,0.001633592,0.001778415,0.002454112,0.001831663,0.00204703,0.002410104,0.001654316,0.001922938,0.003941262,0.003172853,0.002474082,0.003808777,0.002600385,0.001391886,0.001810346,0.002005841,0.00217776,0.001906147,0.002497635,0.001841926,0.001935786,0.002200389,0.003523125,0.00284017,0.002840745,0.002214657,0.002136183,0.001979896,0.002757184,0.002739024,0.002157373,0.002374951,0.003535033,0.002598738,0.002767056,0.002175956,0.00249611,0.003113305,0.003355515,0.003700408,0.002840722,0.002805419,0.002347538,0.002521169,0.003601119,0.00307571,0.003249154,0.003602956,0.002902829,0.002662927,0.003344171,0.00248561,0.002681022,0.003675604,0.002964375,0.003002415,0.003567596,0.003411237,0.002811946,0.003089384,0.0024873,0.002398377,0.002985994,0.004018335,0.002390251,0.002823279,0.004269596,0.003285862,0.002153481,0.003340998,0.00385568,0.004254541,0.003575234,0.002329027,0.002047401,0.002903564,0.003379867,0.00257625,0.003106721,0.005865938,0.006584036,0.006588666,0.004944434,0.005259486,0.007039715,0.004623452,0.00497844,0.006354226,0.006038397,0.004881757,0.005493381,0.004580176,0.004207692,0.005343935,0.00654664,0.004427481,0.006072805,0.006145132,0.006561258,0.005928364,0.005527032,0.00370642,0.005806971,0.004517092,0.004986346,0.007249914,0.00431008,0.00607467,0.004464559,0.00179281,0.002329781,0.005260199,0.002334256,0.001708504,0.002623137,0.002466763,0.00246746,0.002337712,0.002799532,0.003819848,0.002975111,0.003667943,0.001705666,0.002348763,0.003065023,0.004020048,0.002914238,0.002173669
191028_4:1,female,4/26/18,24,APOE22,N57702,N57703,0.336286,0.002856824,0.002724897,0.002077859,0.002283568,0.002647462,0.002155903,0.00319667,0.002147813,0.001780192,0.001611722,0.001435258,0.001652003,0.001769512,0.001235561,0.001647592,0.00183447,0.00188856,0.001128372,0.001669599,0.001955701,0.001856748,0.001609205,0.00100927,0.001419088,0.001713637,0.001750507,0.001801582,0.001722759,0.001232804,0.001082522,0.001154295,0.001340099,0.001505554,0.00151977,0.001140137,0.001214876,0.001511998,0.001176212,0.001510044,0.001732419,0.002324139,0.001752917,0.001982837,0.002084984,0.001445538,0.001778941,0.003919436,0.003509452,0.002577756,0.004078574,0.002591671,0.001457027,0.001751584,0.002051603,0.002004301,0.001978846,0.002496198,0.001949787,0.001949221,0.002301031,0.003458587,0.002797785,0.002798378,0.00228931,0.002254643,0.00203917,0.00273811,0.002796421,0.002207328,0.002360648,0.003508627,0.002566181,0.002672473,0.00218264,0.002497979,0.003269855,0.003339608,0.003663195,0.002872788,0.002857888,0.002404964,0.002625565,0.003616816,0.002982951,0.003218792,0.003621976,0.002896464,0.002740704,0.003375157,0.002385043,0.002630492,0.003709278,0.003002298,0.003032214,0.003402808,0.003318246,0.002672855,0.002913344,0.002424762,0.002405199,0.002754401,0.00424887,0.002272999,0.002858798,0.004158809,0.003171134,0.002189442,0.003154459,0.003783372,0.004186576,0.003430602,0.002372643,0.001905513,0.002746265,0.003190494,0.002487962,0.003176866,0.005924067,0.006635703,0.006229527,0.00499989,0.005281986,0.006890861,0.004774603,0.005245935,0.006336588,0.006047968,0.004518447,0.005535495,0.004481354,0.004227102,0.0049607,0.00641944,0.004309676,0.006092306,0.006342271,0.00633497,0.005670702,0.00578044,0.003940418,0.006400081,0.004384899,0.004943002,0.00724859,0.004389264,0.00603173,0.004434455,0.001612039,0.002357706,0.005167827,0.002486097,0.001641393,0.002556682,0.002317728,0.002516303,0.00231228,0.002826806,0.003843969,0.003103232,0.003714507,0.001562919,0.002208259,0.002951487,0.003986253,0.00271416,0.002388211
191028_5:1,female,4/26/18,22.5,APOE22,N57709,N57710,0.361818,0.002841135,0.002846558,0.001998465,0.002077827,0.002462003,0.002450293,0.003101923,0.002179454,0.001572125,0.001447788,0.001502591,0.001617604,0.001661549,0.00140564,0.001726765,0.001898878,0.002048292,0.001280849,0.00175334,0.001869547,0.001801897,0.001830053,0.001119443,0.001553944,0.00176542,0.00166105,0.001780325,0.001702845,0.00132383,0.001114831,0.001283148,0.00142022,0.001440722,0.001472953,0.001062744,0.001115347,0.001419858,0.001208317,0.001518309,0.00175277,0.002506575,0.001808961,0.00177608,0.001749535,0.001237895,0.001654528,0.00350952,0.003418196,0.002529901,0.004038937,0.002497907,0.001547493,0.001941732,0.001977894,0.002035039,0.001790119,0.002518203,0.001671288,0.002107006,0.002226834,0.00341033,0.002811419,0.002875952,0.002229448,0.002331135,0.00193501,0.003033792,0.002609786,0.00210686,0.002277846,0.003493219,0.00260536,0.002718346,0.002120911,0.002504325,0.003045675,0.003313776,0.00361259,0.002768927,0.002732593,0.002374694,0.002561754,0.003596223,0.002950614,0.003015187,0.003431926,0.002811321,0.00273871,0.003397936,0.002582635,0.002652633,0.003499887,0.002733853,0.002932972,0.003288236,0.003094417,0.002556573,0.003010084,0.002390893,0.002462842,0.002621896,0.004241655,0.002447286,0.002719587,0.004013166,0.003427613,0.001979114,0.002882271,0.003969936,0.004446553,0.00367084,0.002368833,0.0023006,0.002728374,0.003238582,0.002666495,0.003311884,0.005916049,0.00675555,0.006522894,0.004830964,0.005315953,0.00702943,0.00466832,0.005239552,0.00640846,0.005936641,0.00465702,0.00578252,0.004313523,0.003817151,0.005377313,0.006603334,0.004164924,0.006,0.006066481,0.006405777,0.006055961,0.00586243,0.004119847,0.006612278,0.004334772,0.005056615,0.007150632,0.003956499,0.006082863,0.004315511,0.00180587,0.002085071,0.005057724,0.002627282,0.001665907,0.002516129,0.002466985,0.0023299,0.002192025,0.002772735,0.003719183,0.003024307,0.00348637,0.002139214,0.002513085,0.003331191,0.004135857,0.003027455,0.002268261
190715_6:1,male,5/26/18,32.9,APOE22,N57498,N57499,0.3726528,0.002782908,0.002809652,0.001784771,0.001793976,0.002469083,0.002172823,0.002825445,0.001948756,0.001698534,0.001449462,0.001468585,0.001666534,0.00154803,0.001373785,0.001632889,0.001784542,0.001766057,0.001174278,0.001775021,0.001814194,0.001786027,0.001472393,0.001025799,0.001437785,0.001740584,0.001705015,0.001812835,0.001765073,0.001388496,0.001309828,0.001256214,0.00144343,0.001465251,0.001549187,0.001010025,0.001071546,0.00130747,0.001125775,0.001544055,0.001622716,0.002308642,0.001851037,0.00185593,0.001944974,0.001547799,0.001972216,0.003709992,0.003049102,0.002613775,0.003748004,0.002595309,0.001533232,0.001967608,0.002136483,0.002221412,0.002057138,0.002562991,0.002050415,0.001963798,0.002148083,0.003417448,0.002697693,0.003074136,0.002334839,0.002238804,0.002010161,0.002840406,0.002594318,0.002153114,0.002320125,0.003427096,0.002581594,0.002692803,0.002024208,0.002345775,0.00312403,0.003350496,0.003731384,0.002632282,0.002800507,0.002437199,0.002747362,0.003332757,0.002937432,0.003268198,0.003516791,0.003129881,0.002912051,0.003508631,0.002440064,0.0026211,0.003727603,0.003002638,0.003008041,0.00339997,0.003705867,0.002735834,0.002969538,0.002446179,0.002464512,0.002890797,0.004276964,0.002335118,0.002955298,0.00414488,0.003324969,0.002092863,0.002991684,0.003588764,0.004448741,0.003545948,0.002304972,0.002031058,0.003054261,0.003308881,0.002610893,0.003483742,0.005912491,0.006729696,0.006507214,0.004928643,0.00546619,0.006946069,0.004709006,0.005346624,0.006081674,0.006225251,0.004655697,0.005567425,0.004510319,0.004230288,0.005550856,0.006448771,0.00442429,0.006212577,0.006285492,0.006512418,0.005782015,0.005712835,0.003883212,0.006160627,0.004420842,0.00514337,0.007309392,0.004381644,0.006116329,0.004419383,0.001819603,0.002261472,0.005323646,0.002800459,0.001618242,0.002661284,0.002443785,0.002409574,0.002187132,0.002899481,0.003829436,0.003359769,0.003674236,0.001679581,0.002303807,0.002936172,0.003895847,0.002705733,0.002236788
190715_9:1,male,5/26/18,29.3,APOE22,N57502,N57503,0.3799425,0.002943052,0.002960342,0.002096965,0.002234296,0.002486095,0.00206813,0.003247984,0.002093952,0.00168964,0.001675133,0.001662086,0.001860948,0.001795936,0.001341981,0.001649887,0.002060268,0.001912053,0.001255374,0.001740753,0.001917261,0.001789243,0.001601713,0.001208515,0.00163097,0.001779332,0.001794608,0.001830812,0.001728903,0.001299875,0.001140305,0.001094661,0.001424509,0.001691236,0.001807281,0.001137786,0.001094879,0.001504558,0.001392953,0.00172429,0.001781237,0.002229131,0.001834637,0.002211682,0.002450544,0.001597915,0.001867806,0.003755066,0.003387661,0.00267119,0.003822804,0.002612136,0.001494413,0.002082926,0.001880044,0.002507217,0.001597866,0.002562515,0.001827112,0.002124105,0.002316528,0.003326457,0.002811118,0.002750181,0.002303363,0.002230303,0.002017177,0.002683596,0.002870962,0.002197402,0.002273417,0.003431065,0.002566445,0.002770311,0.002184727,0.002654551,0.003093022,0.003267027,0.003619186,0.002820426,0.002712569,0.002280551,0.002525175,0.003559736,0.002932561,0.003185728,0.003348071,0.002850519,0.002697718,0.003523446,0.00243076,0.002665252,0.003483088,0.002881475,0.002841192,0.003346414,0.003157167,0.002751181,0.002962807,0.002515515,0.002402478,0.002806479,0.004118074,0.002319079,0.002862815,0.004191792,0.003099018,0.002182962,0.003277759,0.003837887,0.004291771,0.003241009,0.002588743,0.001951925,0.003231528,0.00324662,0.002766285,0.003298496,0.005927954,0.006593803,0.00654966,0.004994538,0.005247244,0.006978093,0.004719928,0.005149906,0.00612529,0.006080833,0.004567455,0.005436187,0.004600779,0.003800374,0.005251694,0.006468326,0.004330346,0.0062162,0.006295806,0.006220261,0.005546266,0.005853003,0.004099251,0.006578825,0.004231858,0.004826142,0.007121411,0.004377507,0.005877495,0.004278859,0.001862832,0.001954648,0.005139439,0.002426747,0.001574357,0.002482269,0.002395229,0.002469,0.002148399,0.002513445,0.003739752,0.002791118,0.00355948,0.001691326,0.002193016,0.002859881,0.003598331,0.002665528,0.00239388
190715_10:1,male,5/26/18,32.3,APOE22,N57513,N57514,0.3822146,0.002887467,0.002604385,0.002009208,0.002139345,0.002565169,0.002017292,0.003045914,0.002192171,0.001676223,0.001620516,0.001555242,0.001650892,0.001892708,0.001424622,0.001687077,0.002006834,0.001983319,0.001139299,0.001759743,0.001881657,0.001764153,0.00153721,0.001082408,0.001675991,0.001787501,0.001765029,0.001796123,0.001688038,0.001299187,0.001115748,0.001037205,0.001392146,0.001638652,0.001642944,0.001053207,0.001099227,0.001497835,0.001347522,0.001687768,0.001825657,0.002371722,0.001874126,0.001872109,0.002280163,0.001515552,0.001790693,0.003717169,0.003432626,0.002673895,0.003928324,0.002599266,0.00140057,0.001913097,0.001833548,0.002415105,0.001774969,0.002599673,0.001742031,0.002062984,0.002317724,0.003508753,0.002746498,0.002763172,0.002341441,0.002229617,0.002014705,0.00271925,0.002774834,0.002171226,0.002210034,0.00356312,0.002565179,0.002730553,0.002032692,0.002578823,0.003207582,0.003325497,0.003623502,0.002830214,0.002787222,0.002274193,0.0024748,0.00354067,0.002954186,0.003224649,0.00335853,0.003040036,0.002766947,0.003504486,0.002391638,0.002568239,0.003719952,0.002810187,0.00302369,0.003496061,0.00325336,0.002857424,0.0030684,0.002470176,0.002427166,0.002752476,0.004128005,0.002290917,0.002877925,0.004141965,0.003208971,0.002158801,0.003311159,0.003728341,0.004221647,0.003464447,0.002553479,0.002074305,0.002998523,0.003269158,0.002640555,0.003187532,0.005958031,0.006696935,0.006628057,0.005080881,0.005279337,0.007034375,0.004757957,0.005486589,0.006049548,0.006017333,0.004791748,0.005454306,0.00459672,0.003891024,0.005476607,0.006475014,0.004245376,0.006311399,0.00648385,0.006462142,0.005847051,0.005474573,0.00409883,0.006703983,0.004358786,0.004918474,0.007248646,0.00441259,0.006020127,0.004292715,0.001988694,0.002097989,0.004728319,0.00241819,0.001713879,0.002550712,0.002251537,0.002521567,0.002257503,0.0025264,0.003922021,0.003120978,0.003565633,0.001581702,0.002260488,0.002950218,0.003770904,0.002696483,0.002320813
190715_5:1,male,5/26/18,32,APOE22,N57552,N57553,0.3890581,0.00281461,0.002659358,0.001839811,0.001894499,0.002557772,0.002153365,0.002868872,0.001974617,0.001746798,0.001380938,0.001421602,0.001574865,0.001550931,0.001444333,0.001582355,0.00192712,0.001668376,0.00111536,0.001724937,0.001841028,0.001837184,0.001467023,0.001064484,0.001492292,0.001736149,0.001737777,0.001814692,0.001758162,0.001370657,0.001219702,0.0011007,0.001526023,0.001574667,0.001490689,0.000977445,0.001108479,0.001380267,0.001137557,0.001511409,0.001572745,0.002190056,0.001733791,0.002019291,0.002019091,0.001568575,0.001944323,0.003685078,0.003244733,0.002627975,0.003905234,0.002545277,0.001414622,0.002018572,0.00210622,0.00222294,0.002112813,0.002514359,0.001808335,0.00192439,0.002145499,0.003459078,0.002655129,0.002878776,0.002303596,0.002228541,0.001962019,0.002733694,0.002593327,0.002201851,0.002396921,0.003518758,0.002575237,0.002691848,0.002028784,0.002466402,0.003086418,0.003383889,0.003643621,0.002695884,0.002857876,0.002432335,0.002760647,0.003420884,0.002961865,0.003313924,0.003631242,0.003230373,0.002982728,0.003466539,0.002490966,0.002715568,0.003613275,0.00307332,0.003006013,0.003429241,0.00326291,0.002816943,0.00320363,0.002369708,0.002454054,0.003021064,0.004238003,0.002462003,0.002900387,0.004210193,0.00336635,0.002155631,0.003224452,0.004011014,0.004297201,0.00349247,0.002384111,0.002138897,0.002828537,0.003275585,0.002564901,0.00322296,0.005901331,0.006818558,0.006551464,0.004926292,0.005316037,0.007155424,0.004403323,0.00498734,0.006441331,0.006155205,0.005068082,0.005523558,0.004310388,0.003811138,0.005574243,0.00648408,0.004525212,0.006230687,0.006324289,0.006711116,0.006020357,0.005269343,0.003841039,0.006521378,0.004346211,0.005085284,0.007477478,0.004151986,0.006154257,0.004443617,0.001885614,0.002155337,0.004935704,0.002388317,0.001761752,0.002791052,0.002466507,0.002480555,0.002199126,0.00275315,0.003886207,0.003200393,0.003682771,0.001816405,0.002394944,0.002934167,0.00372201,0.002489773,0.002228776
191028_7:1,male,4/26/18,28,APOE22,N57692,N57693,0.3871263,0.002852819,0.002563741,0.001824134,0.001828802,0.002510026,0.002356787,0.002727212,0.001923035,0.001919436,0.001414915,0.001702477,0.001646002,0.001486447,0.001211593,0.00156599,0.001708188,0.001570512,0.000989369,0.001596115,0.001764665,0.002015369,0.001300347,0.000948726,0.001582342,0.001831469,0.001845988,0.001818085,0.001853086,0.00138238,0.001264793,0.001232663,0.00149164,0.001454672,0.001406068,0.001001526,0.001074366,0.001333565,0.001080723,0.001245506,0.001530942,0.002185275,0.001782268,0.001856536,0.001894114,0.001452135,0.001900965,0.003759862,0.003031872,0.002575169,0.003751487,0.002555938,0.001558472,0.001670707,0.00229086,0.002106495,0.002200008,0.002544404,0.001950392,0.001879882,0.002127678,0.003228364,0.002638353,0.002739138,0.002179632,0.002071053,0.001940011,0.002707245,0.002380671,0.002123006,0.002480874,0.003402708,0.002538214,0.00260275,0.002011363,0.002319074,0.003064119,0.003176512,0.003592841,0.002437952,0.002706022,0.002567153,0.002874457,0.003306785,0.002920956,0.003254281,0.003583449,0.003193172,0.002883178,0.003644301,0.002685798,0.002744162,0.003553191,0.002936766,0.003012743,0.003435877,0.00341169,0.002600475,0.003165191,0.002333549,0.002574381,0.002848434,0.004151636,0.002538339,0.002823614,0.003929364,0.003349862,0.002045906,0.002665565,0.00378505,0.004483443,0.003338138,0.002291533,0.002211472,0.003185971,0.003338629,0.002602679,0.003239742,0.005834733,0.006660907,0.006566176,0.004908519,0.005331332,0.007025856,0.004489732,0.005135938,0.005939516,0.006143989,0.004476371,0.005625251,0.004076207,0.004405655,0.005525054,0.006481006,0.004688299,0.006168119,0.006704046,0.006454281,0.006127907,0.00573698,0.003814349,0.006278833,0.004244407,0.005016707,0.007201582,0.004205066,0.006011006,0.004325537,0.001788268,0.002462021,0.005343607,0.002642084,0.0016643,0.002750903,0.002798718,0.002336058,0.002192497,0.002916804,0.003642314,0.003097351,0.003509841,0.002649772,0.002335092,0.002897399,0.003698631,0.002697322,0.002078292
