ANIMAL,Sex,DOB,Weight,Genotype,DWI,GRE,Exterior,A24a,A24aPrime,A24b,A24bPrime,A29a,A29b,A29c,A30,A32,Au1,AuD,AuV,DLO,Fr3,FrA,Ins,LO,LPtA,M1,M2,MO,MPtA,PtPR,S1,S1BF,S1DZ,S1FL,S1HL,S1J,S1Sh,S1Tr,S1ULp,S2,TeA,V1,V1B,V1M,V2L,V2ML,V2MM,VO,CEnt,DIEnt,DLEnt,MEnt,VIEnt,Cl,DCl,PLCo,VCl,Hc,DTT,Ect,PaS,PRh,PrS,Pir,APir,Hyp,Pre_Tel,Sthal,SPT,GP,CPu,Amy,Acb,BNst,Vpal,PAG,APT,VTA,Thal_R,VT,LDNT,MGN,LGN,ZI,RTN,Sub_PP,DpMe,SC,IC,SN,RPC,MRN,RI,Cn,PrCn,BS_R,Iped,Cb_1_10,Den,Int,FasDL,FasMed,Vll,ParB,KF,PCRt,CG,Su5,m5,n5N,PnC,Raph,Pr5,DTg,Tg,CoN,Pn,RTg,Oliv,PnRt,Sp5,Ve,Gi,Cu,ac,ot,fi,cc,fx,st,cg,lo,vhc,ic,fr,sm,mt,pc,bsc,cp,ll,sp5,py,n8,n7,lfp,mlf_ts,sc,ml,vsc,mcp,scp,icp_oc_tz,cbw,LV,A25,das,Post,v4V,MiTg,PT,LDVL,LP,AThal,RMC,PaR,RR,CSF,IRN,PHD_PaMP_Post_and_LatHy,PR_p3Tg_L,PVG,BLA
190715_7:1,female,5/26/18,27.5,APOE22,N57496,N57497,0.3493397,0.002943044,0.002722035,0.002061984,0.002206067,0.002587251,0.002388237,0.00311638,0.002107697,0.001752274,0.001470871,0.001487893,0.001684649,0.001794665,0.001401348,0.001654257,0.002107387,0.001957204,0.0010601,0.001744749,0.001992681,0.001831592,0.00159565,0.001087371,0.001596907,0.001761554,0.00165235,0.001787704,0.001864786,0.001385918,0.001297568,0.001146251,0.001417027,0.001675254,0.001567268,0.001053271,0.001135744,0.001601747,0.001262816,0.001587055,0.001714354,0.002359259,0.001870799,0.002110155,0.00228486,0.001432914,0.001839645,0.003844631,0.00353393,0.002621152,0.004252085,0.002648781,0.001482254,0.001991478,0.001981955,0.002281508,0.001941676,0.002530508,0.001598132,0.0020708,0.002403576,0.003264275,0.00292064,0.002780331,0.00241879,0.002248626,0.002050972,0.002748943,0.002925485,0.002192259,0.002538987,0.003530304,0.002603751,0.002666932,0.002301168,0.002651918,0.003305415,0.003222068,0.003499344,0.002980404,0.002825589,0.002385485,0.002542781,0.003560106,0.002841605,0.003258982,0.003492291,0.00290783,0.002832639,0.00354175,0.002277876,0.002696253,0.003505291,0.002864466,0.002987352,0.003415099,0.0033233,0.002885848,0.003052837,0.002456908,0.002450216,0.002759038,0.00397301,0.002145287,0.002772333,0.004158477,0.003110684,0.002237839,0.00336665,0.003744058,0.004400315,0.003313951,0.002531089,0.00195098,0.003132421,0.003223138,0.002623936,0.003146903,0.005727158,0.006459273,0.006598427,0.004877347,0.005292799,0.006961471,0.004703113,0.005324397,0.006255102,0.005727327,0.004799349,0.005479866,0.004487401,0.004491038,0.005192165,0.006272161,0.004451382,0.00613739,0.006646805,0.005989825,0.005302214,0.00617591,0.004050003,0.00671332,0.004213516,0.004877783,0.007121046,0.004616525,0.005723279,0.0043254,0.002051541,0.002288642,0.005186449,0.002991562,0.002302456,0.002622439,0.002470094,0.002910075,0.002378887,0.002712631,0.004042561,0.002979098,0.003506935,0.001682435,0.002230869,0.00304734,0.004036725,0.002874802,0.002328034
190715_8:1,female,5/26/18,28.8,APOE22,N57500,N57501,0.3602842,0.002996124,0.00275842,0.002042752,0.002088742,0.002572062,0.002189291,0.003065758,0.002082956,0.00172098,0.001474893,0.0014376,0.001573826,0.001661878,0.001412383,0.001626021,0.001964809,0.00191421,0.001225623,0.001759073,0.001976653,0.001959381,0.001579939,0.001235175,0.001531881,0.001774792,0.00168332,0.001780095,0.001772063,0.00134896,0.001418738,0.00118277,0.001423715,0.001678669,0.0015773,0.001169149,0.001157763,0.001544185,0.001270698,0.001719602,0.001737555,0.002424913,0.001923336,0.002225977,0.002360638,0.00156899,0.001967983,0.003742583,0.003724578,0.002791128,0.004077623,0.00270572,0.001392168,0.002030403,0.00190575,0.00236195,0.001928987,0.00259027,0.002101642,0.002022952,0.002331717,0.00341776,0.002854494,0.002794098,0.002321163,0.002299185,0.002028654,0.002869926,0.002876781,0.002190894,0.00236131,0.003495144,0.002582195,0.002666393,0.002212285,0.002589185,0.003178549,0.003357549,0.003550652,0.002966007,0.002843194,0.002304432,0.002535926,0.003511006,0.00285307,0.003227128,0.003409756,0.002957218,0.002777939,0.003403614,0.002303618,0.00273913,0.00358377,0.002872845,0.003053315,0.003539478,0.00340989,0.002828023,0.003112707,0.002536331,0.002317159,0.002715147,0.003742459,0.002281966,0.00276192,0.004008798,0.003204443,0.002180646,0.003259528,0.004012884,0.004232634,0.003362311,0.002526588,0.001977348,0.002956992,0.003189797,0.002518742,0.003022651,0.005866639,0.006526102,0.006671019,0.004871809,0.005201723,0.007100856,0.004712388,0.00531499,0.006181062,0.005815809,0.004617769,0.005744703,0.004253342,0.004315303,0.005475397,0.006450255,0.004387665,0.006131945,0.006382829,0.006160097,0.005450665,0.006236897,0.003689551,0.006240856,0.004149494,0.004980241,0.00714841,0.004208858,0.00570887,0.004347391,0.002115466,0.002454428,0.00477906,0.002757266,0.001625655,0.002572892,0.002387627,0.002760673,0.002264818,0.002687646,0.003841747,0.002509629,0.003630828,0.001591033,0.002357793,0.00304052,0.003967264,0.002791918,0.002443109
191028_3:1,female,4/26/18,22.3,APOE22,N57694,N57695,0.3442935,0.002958234,0.002670872,0.002031275,0.002158354,0.002583197,0.002257662,0.003015493,0.002089156,0.001743733,0.001411461,0.001371995,0.001565078,0.001790337,0.001360556,0.001674397,0.001924284,0.001915037,0.001103981,0.001717499,0.00193979,0.001811922,0.001505273,0.001024053,0.001453803,0.001726969,0.001640392,0.001729479,0.001727198,0.001252874,0.001248013,0.001081168,0.001425893,0.001530276,0.001507023,0.000943932,0.000985625,0.001485193,0.00110103,0.001449474,0.001632704,0.002323325,0.001829727,0.002005064,0.002248873,0.001459528,0.001801549,0.003914817,0.003409004,0.002695868,0.004000509,0.002614835,0.001466445,0.001941705,0.001957012,0.002248108,0.001807516,0.002503177,0.001831298,0.001990381,0.002316162,0.003411341,0.002815636,0.002865486,0.002294046,0.002330853,0.001952729,0.002825177,0.002835679,0.002320757,0.002364017,0.003510109,0.002553711,0.002585209,0.002164304,0.00254942,0.003163189,0.003360386,0.003550186,0.003009152,0.002977544,0.00232573,0.002619794,0.003662769,0.003159425,0.003330767,0.003652544,0.003076123,0.002900199,0.003360292,0.002468952,0.00262587,0.003708809,0.002926462,0.002971653,0.00348117,0.003301694,0.002894309,0.003123916,0.002428461,0.002388803,0.002956806,0.004274676,0.002294725,0.002760365,0.004115663,0.003209681,0.002210156,0.003224027,0.003813729,0.004349222,0.003172737,0.002329425,0.001985097,0.002754104,0.003269643,0.002453167,0.002946716,0.005765577,0.006583452,0.00660228,0.004813218,0.005191788,0.007080329,0.00453642,0.005228818,0.006264245,0.005927453,0.004493173,0.005690681,0.004505517,0.004189454,0.005581365,0.006352081,0.004326833,0.006036728,0.006255601,0.006285265,0.006110159,0.00525397,0.00377376,0.0059593,0.00423879,0.004930366,0.007141056,0.004383409,0.005994899,0.004376454,0.001930638,0.002288363,0.005285063,0.002814797,0.001641822,0.002625475,0.002264983,0.002816876,0.002306911,0.00264421,0.003994806,0.002935148,0.003685677,0.001750709,0.002336681,0.003211095,0.004209935,0.00265921,0.002417261
191028_4:1,female,4/26/18,24,APOE22,N57702,N57703,0.336286,0.002906758,0.002597439,0.002009752,0.001995404,0.002777049,0.002035598,0.003014655,0.002079516,0.001758653,0.001507424,0.001274913,0.001486961,0.001774798,0.001375627,0.001646024,0.001809385,0.00195311,0.000947915,0.001703539,0.001947681,0.001896037,0.001518128,0.000989402,0.001437534,0.001741044,0.001700961,0.001778446,0.00177119,0.00123719,0.001234781,0.00111918,0.001336232,0.001440899,0.001338442,0.001082861,0.001156123,0.001544696,0.001094463,0.001515746,0.001714918,0.002373427,0.001801731,0.001990475,0.002193105,0.001553547,0.001804766,0.004051657,0.00321315,0.002511177,0.003875062,0.002617637,0.001477815,0.001521852,0.002127068,0.001892928,0.002057304,0.002447811,0.001690052,0.002014601,0.002283866,0.00331544,0.002801441,0.002778315,0.002256792,0.002193314,0.002004551,0.00270385,0.002823946,0.00221629,0.002410184,0.003489625,0.002575935,0.002722909,0.00228582,0.002723273,0.003215437,0.003300621,0.003647258,0.00287503,0.002917338,0.002386501,0.002672376,0.003572575,0.002851219,0.003349221,0.003642314,0.003183086,0.003019017,0.003361929,0.002286653,0.002709142,0.003675357,0.002857719,0.003065549,0.003535936,0.003494979,0.002809887,0.00314705,0.0025075,0.002403414,0.002881622,0.004088725,0.002404399,0.002802427,0.004228819,0.00331878,0.002184593,0.003046319,0.004022454,0.004223296,0.003195527,0.002378598,0.002014045,0.002669061,0.003290844,0.002558949,0.003185138,0.005881625,0.006660636,0.006254897,0.004913236,0.005543774,0.00697875,0.00456645,0.005214298,0.006351555,0.00597302,0.004443142,0.005707354,0.00437476,0.004224739,0.005479422,0.006433032,0.004727969,0.006278915,0.006333393,0.006260948,0.006007068,0.005664774,0.004018724,0.006651913,0.004416188,0.005164805,0.007335085,0.004248704,0.006038333,0.004428944,0.001619982,0.002442527,0.005250141,0.002489969,0.001639932,0.002875598,0.002451408,0.002697717,0.002171578,0.002790575,0.003828989,0.003341734,0.003825166,0.00156268,0.002420222,0.003104262,0.004157403,0.003041163,0.002270625
191028_5:1,female,4/26/18,22.5,APOE22,N57709,N57710,0.361818,0.002853436,0.0026924,0.002057449,0.002047017,0.002500114,0.002206632,0.003125388,0.002145499,0.001751675,0.001495913,0.001375594,0.001597856,0.001690677,0.00129312,0.001613957,0.001881114,0.002071476,0.001192751,0.001752795,0.001976707,0.001937925,0.001739921,0.001162489,0.001400891,0.001810675,0.001767254,0.001843744,0.001801779,0.001284093,0.001314471,0.001202604,0.001376789,0.001505521,0.001448245,0.00101801,0.001060583,0.00140231,0.001193325,0.001512027,0.001736037,0.002650351,0.00172694,0.001761174,0.001856629,0.001274302,0.001673543,0.003774759,0.003336182,0.002600736,0.00399461,0.00255551,0.001525375,0.001866927,0.001908325,0.002068699,0.001769249,0.002501851,0.001740354,0.002159335,0.002274032,0.003490686,0.002853909,0.002767819,0.002229427,0.002321052,0.002037138,0.002949986,0.002836894,0.002154722,0.002503262,0.003489075,0.002633838,0.00274567,0.002290006,0.002686108,0.003197121,0.003427413,0.003534885,0.002798509,0.00279279,0.002384787,0.002583615,0.003634197,0.002954887,0.003149837,0.003554057,0.002869559,0.002796178,0.003377338,0.00267954,0.002705954,0.003497186,0.002881542,0.002904334,0.00330593,0.003293482,0.002591138,0.003086355,0.002419233,0.00254481,0.002674232,0.004433174,0.002459656,0.002760106,0.004012898,0.003494747,0.001999993,0.002743853,0.003970632,0.004507249,0.003621086,0.002395098,0.002304672,0.002806985,0.003315327,0.002653952,0.003156149,0.005942036,0.006856257,0.006636316,0.004816183,0.005283556,0.007132032,0.004877543,0.005534259,0.006249683,0.005836861,0.004527231,0.005815248,0.004170705,0.003820137,0.005678099,0.006490537,0.004470955,0.006076993,0.006301168,0.006153224,0.006353493,0.005769317,0.004052275,0.006694037,0.004137581,0.005079807,0.007201911,0.004058403,0.005944359,0.004369583,0.001897447,0.002222605,0.004953934,0.002543173,0.001675956,0.002587725,0.002494206,0.002610397,0.002348476,0.002878432,0.003856249,0.002864062,0.003621355,0.002017817,0.002567932,0.00340595,0.004224317,0.002803836,0.002159627
190715_6:1,male,5/26/18,32.9,APOE22,N57498,N57499,0.3726528,0.002712091,0.00268462,0.001986518,0.002059219,0.002707978,0.002210408,0.002865707,0.002004417,0.001974386,0.001446195,0.001435562,0.001660377,0.001765874,0.001395013,0.001615264,0.001741683,0.00189263,0.001083867,0.001688619,0.00192106,0.00203711,0.001627948,0.000991626,0.001379632,0.001852418,0.001698612,0.001763915,0.001834433,0.00131738,0.001451865,0.00119096,0.001443689,0.001473553,0.001483104,0.001032345,0.001080345,0.001377679,0.001140903,0.001526695,0.001570947,0.002457901,0.001772757,0.001881408,0.002253131,0.001603776,0.001982785,0.003981679,0.003054882,0.002846184,0.003646076,0.002633122,0.001486793,0.001722931,0.002015575,0.002213771,0.001892291,0.002553877,0.001700246,0.00202636,0.002332687,0.003239887,0.002713132,0.002781159,0.002317425,0.002189915,0.00204339,0.002763444,0.0026796,0.00218673,0.002468433,0.00352838,0.002561704,0.002682865,0.002058115,0.002668038,0.003202954,0.003224945,0.003658236,0.002771311,0.002908416,0.00243749,0.002683197,0.003457421,0.002905224,0.003374931,0.003553913,0.0029871,0.002934426,0.003522313,0.002449123,0.00263169,0.003471382,0.00301645,0.003152336,0.003402663,0.003431638,0.002789839,0.003032633,0.002402152,0.002564776,0.002848467,0.003908109,0.002335364,0.002852178,0.004142383,0.003300907,0.0021741,0.002986366,0.003837288,0.004418232,0.003197063,0.002442612,0.002097899,0.002909522,0.003287251,0.002701875,0.003200234,0.005912989,0.006693794,0.006491344,0.004872636,0.005401629,0.007048813,0.004620498,0.005518564,0.006251904,0.006031729,0.004636452,0.005600233,0.004372424,0.004089383,0.005545494,0.006344009,0.004448006,0.006245993,0.006367986,0.006340551,0.005752481,0.005227206,0.003894201,0.006209968,0.004207075,0.005136067,0.007152348,0.004379724,0.005931582,0.004332524,0.001846414,0.002484838,0.005111367,0.002660753,0.001619016,0.00276683,0.002405632,0.00264335,0.002057888,0.002692561,0.003821479,0.003249286,0.003678103,0.001799285,0.002339743,0.002969615,0.004251016,0.002568138,0.002167423
190715_9:1,male,5/26/18,29.3,APOE22,N57502,N57503,0.3799425,0.002994023,0.00293048,0.002127817,0.002184145,0.002597009,0.002061935,0.003276397,0.002147389,0.001666048,0.001594023,0.001556646,0.001771127,0.001647887,0.00138214,0.00168972,0.001988136,0.00185318,0.001232912,0.001769708,0.001922056,0.001761538,0.001741616,0.001154947,0.0014166,0.001835094,0.001746504,0.001830612,0.001884514,0.001341402,0.001390715,0.001131829,0.001443238,0.001627265,0.001700446,0.001233999,0.001143829,0.001493205,0.001368325,0.001821364,0.001839063,0.002185535,0.001827159,0.00199428,0.002432297,0.001490709,0.001679555,0.003633062,0.003305464,0.002558717,0.004106983,0.002640911,0.001504754,0.001948308,0.001854039,0.002537329,0.001667474,0.002542846,0.00199474,0.002132189,0.002185938,0.003443784,0.002762234,0.002724183,0.002259577,0.002197712,0.001911707,0.002595791,0.00270167,0.002199352,0.002256287,0.003474045,0.002590926,0.002772806,0.002135285,0.002603715,0.003128869,0.003284466,0.003626635,0.002763321,0.002777184,0.002268603,0.002548493,0.00353107,0.002933038,0.003237156,0.003335457,0.003058598,0.002722143,0.003527478,0.002354508,0.002715185,0.003618784,0.002765178,0.003050281,0.003424486,0.003444926,0.002842836,0.003166166,0.002478448,0.00245693,0.002921993,0.00422823,0.002363408,0.002848016,0.004218947,0.003246224,0.002255721,0.00329769,0.003886386,0.004268779,0.003258775,0.002584993,0.002025514,0.003154313,0.003280957,0.002700795,0.003367383,0.005860621,0.006548723,0.00666414,0.004787509,0.005130169,0.007017963,0.004797339,0.005130065,0.005995399,0.006004542,0.004280952,0.005549723,0.004586401,0.003921641,0.005035582,0.006463412,0.00452598,0.00622186,0.006383959,0.006412985,0.00569162,0.006052984,0.004132359,0.006832185,0.004319259,0.004924211,0.00712321,0.004339036,0.005733534,0.004226391,0.00207643,0.002123494,0.004969987,0.00220425,0.001674896,0.002519738,0.00234987,0.002660599,0.002310311,0.002539477,0.003757402,0.003014234,0.003575386,0.001606939,0.002290541,0.002932952,0.003738867,0.002561996,0.002256811
190715_10:1,male,5/26/18,32.3,APOE22,N57513,N57514,0.3822146,0.002905556,0.002687626,0.002016315,0.002087173,0.002725403,0.002189661,0.003166605,0.002193111,0.001713626,0.001590241,0.001515889,0.001623255,0.001811074,0.001391945,0.001661737,0.001896615,0.001967788,0.001178112,0.00168613,0.001854395,0.001736902,0.001747522,0.001216919,0.001489172,0.001783577,0.001688117,0.001776446,0.001772164,0.001301567,0.001395235,0.001132906,0.001411504,0.001548919,0.001587702,0.001278831,0.001136254,0.001529657,0.0013258,0.001937849,0.001897028,0.002366824,0.001721025,0.002007648,0.002348064,0.001466482,0.001741523,0.003751545,0.00344705,0.00247809,0.004093943,0.002644688,0.001502462,0.001942237,0.001771444,0.002431368,0.0016646,0.002518056,0.001939312,0.002076992,0.002230177,0.003512493,0.002803753,0.002773541,0.002276706,0.002178131,0.001978671,0.002595291,0.002584267,0.002188314,0.002235849,0.003548168,0.002567222,0.002704124,0.002193033,0.002626839,0.003034395,0.003318741,0.003670319,0.002864564,0.002735692,0.002279023,0.002462649,0.003576816,0.002999013,0.003211388,0.003305574,0.002825906,0.002655043,0.003502927,0.002505527,0.002600397,0.003468182,0.002774254,0.002935286,0.003469681,0.00332218,0.002804395,0.002969884,0.002499881,0.002462382,0.002802002,0.004052688,0.002093713,0.002889749,0.004190866,0.003133693,0.002160042,0.003310326,0.003777835,0.004269218,0.003479369,0.002553051,0.001994466,0.002971671,0.0032709,0.002605976,0.003244746,0.00588081,0.006641975,0.006640931,0.004900344,0.005279063,0.007176792,0.004760253,0.005300445,0.006135914,0.005983796,0.004819172,0.005627091,0.00463365,0.004121755,0.005337404,0.006429449,0.004338398,0.006217174,0.006454784,0.006206842,0.005556074,0.005756413,0.00410265,0.006609131,0.0042927,0.004837889,0.007144697,0.004393403,0.005701098,0.004292647,0.002182723,0.002233819,0.005154093,0.002300106,0.001783704,0.002484702,0.002306957,0.002562745,0.002308001,0.002550729,0.003790576,0.002824033,0.003579098,0.001624706,0.002204485,0.002991064,0.003827935,0.002565571,0.002289621
190715_5:1,male,5/26/18,32,APOE22,N57552,N57553,0.3890581,0.002813538,0.002705555,0.001899218,0.001947769,0.002690882,0.002113111,0.002857245,0.002006497,0.001854424,0.001422456,0.001438931,0.001590911,0.001673224,0.001346526,0.00155091,0.001780939,0.00177247,0.000961435,0.00168007,0.001783771,0.001881937,0.001377097,0.001103943,0.001357937,0.001915281,0.00173297,0.001796703,0.00182352,0.001307278,0.001362025,0.001235132,0.001489574,0.001564975,0.001481871,0.001049501,0.001158025,0.001400368,0.001057713,0.001457581,0.001630603,0.002245616,0.001787817,0.001879923,0.00225237,0.001498352,0.001829383,0.003910762,0.003102242,0.002820814,0.003659909,0.002597241,0.001415976,0.001854941,0.002039499,0.002320202,0.002019509,0.002518053,0.001712379,0.001949629,0.002224939,0.003282247,0.002624688,0.002665978,0.002249928,0.002080438,0.002002744,0.002608794,0.002586473,0.002276617,0.002416395,0.003473364,0.002578583,0.002728115,0.002087379,0.002499613,0.003201329,0.003219266,0.00364911,0.002587427,0.002877982,0.002434846,0.002770485,0.003453486,0.002972929,0.003371299,0.003650866,0.003255524,0.002993177,0.003390888,0.002471744,0.002742459,0.003764818,0.003132161,0.002939906,0.003429959,0.003341871,0.002925379,0.003181392,0.002467315,0.002423589,0.003106581,0.004141705,0.002429724,0.002848383,0.004127487,0.003452386,0.002160234,0.003088951,0.00414365,0.004365194,0.003303662,0.002361983,0.002021055,0.002809791,0.003336248,0.002550256,0.003323756,0.006105322,0.006803217,0.006572325,0.004924084,0.005333033,0.007149644,0.004677167,0.005339297,0.00555538,0.006072069,0.004880312,0.005599527,0.004343306,0.004183169,0.005480187,0.006391809,0.004552652,0.006275948,0.006213738,0.006653983,0.006107985,0.005200457,0.003826972,0.006259306,0.004220784,0.005165492,0.007413682,0.004290091,0.006094284,0.004521378,0.001951258,0.002218624,0.005067877,0.00255533,0.001671077,0.002789396,0.002448158,0.002588097,0.002215785,0.00264721,0.003868924,0.003282905,0.003730375,0.001779798,0.002399822,0.003031342,0.003961135,0.002639941,0.001986266
191028_7:1,male,4/26/18,28,APOE22,N57692,N57693,0.3871263,0.002791728,0.002435133,0.002008228,0.002021386,0.002664297,0.002181845,0.002730285,0.001947879,0.00212307,0.0014767,0.001458374,0.00159746,0.001904306,0.001268776,0.00159701,0.001815142,0.001817551,0.001008216,0.001535001,0.001869162,0.002184299,0.001420786,0.001055135,0.001493225,0.001909144,0.001847609,0.001912886,0.001975273,0.001362589,0.001482989,0.001222584,0.001485758,0.001463715,0.001394591,0.001070402,0.001160422,0.001370435,0.000982905,0.001337732,0.001483799,0.00241983,0.001900177,0.001790563,0.001939614,0.001558153,0.001990384,0.004283471,0.00293679,0.002822234,0.003569995,0.002612978,0.001668916,0.001671587,0.002401618,0.002122506,0.002317857,0.002571538,0.001930246,0.001853399,0.002268898,0.003185517,0.002609619,0.00257917,0.002216086,0.002083178,0.002081107,0.002696401,0.002425222,0.002267777,0.00256129,0.003271135,0.002493622,0.002539243,0.002111258,0.002520442,0.003110257,0.003116322,0.00364484,0.0024435,0.002766541,0.002568891,0.002889316,0.003259328,0.002954375,0.0033173,0.003496232,0.003135957,0.003058038,0.00356075,0.002670819,0.00273707,0.003548138,0.003091742,0.003085905,0.003351047,0.003475779,0.002717892,0.003150801,0.002352817,0.002670997,0.00293912,0.004365953,0.002481112,0.002765783,0.00391559,0.003398456,0.00211538,0.002945503,0.004004169,0.004416246,0.003229039,0.002296431,0.002229846,0.0031974,0.003477809,0.002782773,0.003228932,0.005849064,0.006613836,0.006665917,0.004912917,0.005375866,0.007226992,0.004540496,0.005322384,0.00619034,0.005917337,0.004076601,0.005747498,0.004166453,0.004347552,0.005600784,0.006221779,0.004804102,0.005964347,0.006720557,0.006312131,0.006189169,0.005816771,0.003791747,0.006346226,0.004064568,0.005084623,0.007291422,0.004285432,0.006123375,0.004381862,0.0019171,0.002604212,0.005453157,0.002689671,0.001737508,0.002807499,0.00308644,0.002757103,0.002252378,0.002926132,0.003707621,0.003167988,0.00355339,0.00295254,0.002581337,0.002910545,0.004162055,0.002816629,0.001974196
